Banner_1/name:Banner, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2771,1844],color:[(255, 255, 128)]
BikeLane_5/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2321],color:[(128, 64, 255)]
BikeLane_6/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2322],color:[(128, 64, 255)]
BikeLane_7/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2323],color:[(128, 64, 255)]
BikeLane_8/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2324],color:[(128, 64, 255)]
BikeLane_9/name:BikeLane, file:/data/deeplearning/dataset/mapillary/training/labels/-24xIsrQS_XSpHHgmmOB2g.png, x,y:[0,2325],color:[(128, 64, 255)]
BikeRack_1/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1903],color:[(0, 0, 0)]
BikeRack_10/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1912],color:[(0, 0, 0)]
BikeRack_2/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1904],color:[(0, 0, 0)]
BikeRack_3/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1905],color:[(0, 0, 0)]
BikeRack_4/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1906],color:[(0, 0, 0)]
BikeRack_5/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1907],color:[(0, 0, 0)]
BikeRack_6/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1908],color:[(0, 0, 0)]
BikeRack_7/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1909],color:[(0, 0, 0)]
BikeRack_8/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1910],color:[(0, 0, 0)]
BikeRack_9/name:BikeRack, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[0,1911],color:[(0, 0, 0)]
Billboard_1/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1012],color:[(220, 220, 220)]
Billboard_10/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1551,1014],color:[(220, 220, 220)]
Billboard_2/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1013],color:[(220, 220, 220)]
Billboard_3/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1014],color:[(220, 220, 220)]
Billboard_4/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1015],color:[(220, 220, 220)]
Billboard_5/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1016],color:[(220, 220, 220)]
Billboard_6/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1017],color:[(220, 220, 220)]
Billboard_7/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1550,1018],color:[(220, 220, 220)]
Billboard_8/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1551,1012],color:[(220, 220, 220)]
Billboard_9/name:Billboard, file:/data/deeplearning/dataset/mapillary/training/labels/--WOpVBuHlCygAUADkttpg.png, x,y:[1551,1013],color:[(220, 220, 220)]
Bird_1/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,802],color:[(165, 42, 42)]
Bird_10/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,811],color:[(165, 42, 42)]
Bird_2/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,803],color:[(165, 42, 42)]
Bird_3/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,804],color:[(165, 42, 42)]
Bird_4/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,805],color:[(165, 42, 42)]
Bird_5/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,806],color:[(165, 42, 42)]
Bird_6/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,807],color:[(165, 42, 42)]
Bird_7/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,808],color:[(165, 42, 42)]
Bird_8/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,809],color:[(165, 42, 42)]
Bird_9/name:Bird, file:/data/deeplearning/dataset/mapillary/training/labels/-3WWvMk6i1YgKC9ECG2HEA.png, x,y:[2535,810],color:[(165, 42, 42)]
Bridge_1/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2469],color:[(150, 100, 100)]
Bridge_10/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2478],color:[(150, 100, 100)]
Bridge_2/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2470],color:[(150, 100, 100)]
Bridge_3/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2471],color:[(150, 100, 100)]
Bridge_4/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2472],color:[(150, 100, 100)]
Bridge_5/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2473],color:[(150, 100, 100)]
Bridge_6/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2474],color:[(150, 100, 100)]
Bridge_7/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2475],color:[(150, 100, 100)]
Bridge_8/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2476],color:[(150, 100, 100)]
Bridge_9/name:Bridge, file:/data/deeplearning/dataset/mapillary/training/labels/-4x3QnUx01ZfYnZPVE9DNA.png, x,y:[1749,2477],color:[(150, 100, 100)]
Building_1/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[241,1506],color:[(70, 70, 70)]
Building_10/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[242,1510],color:[(70, 70, 70)]
Building_2/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[241,1507],color:[(70, 70, 70)]
Building_3/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[241,1508],color:[(70, 70, 70)]
Building_4/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[241,1509],color:[(70, 70, 70)]
Building_5/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[241,1510],color:[(70, 70, 70)]
Building_6/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[242,1506],color:[(70, 70, 70)]
Building_7/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[242,1507],color:[(70, 70, 70)]
Building_8/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[242,1508],color:[(70, 70, 70)]
Building_9/name:Building, file:/data/deeplearning/dataset/mapillary/training/labels/--NSVcUgfVhFd6uzkqHOOg.png, x,y:[242,1509],color:[(70, 70, 70)]
Bus_1/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1469],color:[(0, 60, 100)]
Bus_10/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1478],color:[(0, 60, 100)]
Bus_2/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1470],color:[(0, 60, 100)]
Bus_3/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1471],color:[(0, 60, 100)]
Bus_4/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1472],color:[(0, 60, 100)]
Bus_5/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1473],color:[(0, 60, 100)]
Bus_6/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1474],color:[(0, 60, 100)]
Bus_7/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1475],color:[(0, 60, 100)]
Bus_8/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1476],color:[(0, 60, 100)]
Bus_9/name:Bus, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1878,1477],color:[(0, 60, 100)]
CCTVCamera_1/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2974,1040],color:[(222, 40, 40)]
CCTVCamera_10/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2976,1034],color:[(222, 40, 40)]
CCTVCamera_2/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2974,1041],color:[(222, 40, 40)]
CCTVCamera_3/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1036],color:[(222, 40, 40)]
CCTVCamera_4/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1037],color:[(222, 40, 40)]
CCTVCamera_5/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1038],color:[(222, 40, 40)]
CCTVCamera_6/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1039],color:[(222, 40, 40)]
CCTVCamera_7/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1040],color:[(222, 40, 40)]
CCTVCamera_8/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1041],color:[(222, 40, 40)]
CCTVCamera_9/name:CCTVCamera, file:/data/deeplearning/dataset/mapillary/training/labels/--vWKSR3Rh8quTfK4AuKOQ.png, x,y:[2975,1042],color:[(222, 40, 40)]
CarMount_1/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3084,512],color:[(32, 32, 32)]
CarMount_10/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3085,512],color:[(32, 32, 32)]
CarMount_2/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3084,513],color:[(32, 32, 32)]
CarMount_3/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3084,514],color:[(32, 32, 32)]
CarMount_4/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3084,515],color:[(32, 32, 32)]
CarMount_5/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3084,516],color:[(32, 32, 32)]
CarMount_6/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3085,508],color:[(32, 32, 32)]
CarMount_7/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3085,509],color:[(32, 32, 32)]
CarMount_8/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3085,510],color:[(32, 32, 32)]
CarMount_9/name:CarMount, file:/data/deeplearning/dataset/mapillary/training/labels/-6tNQe10dgH3ByWafilXHw.png, x,y:[3085,511],color:[(32, 32, 32)]
Caravan_1/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1421],color:[(0, 0, 90)]
Caravan_10/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1430],color:[(0, 0, 90)]
Caravan_2/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1422],color:[(0, 0, 90)]
Caravan_3/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1423],color:[(0, 0, 90)]
Caravan_4/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1424],color:[(0, 0, 90)]
Caravan_5/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1425],color:[(0, 0, 90)]
Caravan_6/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1426],color:[(0, 0, 90)]
Caravan_7/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1427],color:[(0, 0, 90)]
Caravan_8/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1428],color:[(0, 0, 90)]
Caravan_9/name:Caravan, file:/data/deeplearning/dataset/mapillary/training/labels/-7kDWbpzqmrQkBx39Z_Jgg.png, x,y:[2219,1429],color:[(0, 0, 90)]
Crosswalk-Plain_1/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1512,1561],color:[(140, 140, 200)]
Crosswalk-Plain_10/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1513,1562],color:[(140, 140, 200)]
Crosswalk-Plain_2/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1512,1562],color:[(140, 140, 200)]
Crosswalk-Plain_3/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1512,1563],color:[(140, 140, 200)]
Crosswalk-Plain_4/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1513,1556],color:[(140, 140, 200)]
Crosswalk-Plain_5/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1513,1557],color:[(140, 140, 200)]
Crosswalk-Plain_6/name:Crosswalk-Plain, file:/data/deeplearning/dataset/mapillary/training/labels/-0Q9X3KqBrhdlGzap-YToQ.png, x,y:[1513,1558],color:[(140, 140, 200)]
